birth of year,age,2012,2013,2014,2015,2016,2017
2017,0,,,,,,0
2016,1,,,,,1,3
2015,2,,,,0,3,0
2014,3,,,5,8,1,3
2013,4,,51,7,3,2,0
2012,5,6,71,3,2,3,0
2011,6,16,23,1,4,1,0
2010,7,6,13,5,2,1,1
2009,8,6,24,3,0,1,0
2008,9,4,21,6,1,0,0
2007,10,7,19,2,0,0,0
2006,11,6,16,1,0,0,0
2005,12,3,19,6,0,0,0
2004,13,4,11,3,0,0,0
2003,14,4,22,1,0,0,0
2002,15,6,19,0,0,0,0
2001,16,3,26,1,0,0,1
2000,17,1,15,0,0,0,0
1999,18,6,29,1,0,2,1
1998,19,3,43,1,1,0,0
1997,20,6,50,1,2,0,0
1996,21,10,56,1,0,0,1
1995,22,20,100,2,1,0,0
1994,23,29,120,3,0,2,2
1993,24,25,116,1,1,7,1
1992,25,24,146,2,1,2,2
1991,26,20,135,4,1,0,1
1990,27,42,184,1,0,1,0
1989,28,38,177,6,1,2,3
1988,29,28,119,1,0,0,0
1987,30,27,125,3,1,1,0
1986,31,18,140,5,0,1,2
1985,32,17,121,1,1,1,0
1984,33,10,92,5,1,1,1
1983,34,15,104,5,1,1,1
1982,35,12,66,1,0,1,1
1981,36,11,57,2,1,0,0
1980,37,5,50,1,3,1,1
1979,38,6,44,2,4,1,0
1978,39,6,57,3,2,1,0
1977,40,5,44,0,1,0,0
1976,41,5,41,1,3,1,0
1975,42,8,44,1,3,3,0
1974,43,7,42,3,2,0,1
1973,44,5,45,3,0,1,0
1972,45,10,33,3,1,0,0
1971,46,5,37,1,0,0,0
1970,47,4,31,1,1,0,0
1969,48,7,29,2,0,1,0
1968,49,3,36,0,0,0,0
1967,50,5,25,0,0,2,1
1966,51,0,20,0,1,0,1
1965,52,2,18,2,0,0,0
1964,53,5,15,1,0,2,0
1963,54,3,20,0,0,0,1
1962,55,,54,1,0,0,0
1961,56,,56,0,0,0,1
1960,57,,27,1,0,0,0
1959,58,,38,0,0,0,0
1958,59,,34,0,0,1,1
1957,60,,34,1,0,0,0
1956,61,,17,0,0,1,0
1955,62,,21,1,0,0,0
1954,63,,12,1,0,1,0
1953,64,,9,0,0,0,1
1952,65,,14,0,1,0,0
1951,66,,16,0,0,0,0
1950,67,,13,0,0,0,0
1949,68,,10,1,0,0,0
1948,69,,4,0,0,0,0
1947,,,11,1,0,0,
1946,,,9,0,0,,
1945,,,8,0,,,
1944,,,7,,,,
,-50,58,,,,,
,-70,,17,2,1,1,1
,,582,3372,123,56,52,33
