birth of year,age,2012,2013,2014,2015,2016,2017
2017,0,0,0,0,0,0,1
2016,1,0,0,0,0,1,11
2015,2,0,0,0,4,5,0
2014,3,0,0,9,17,3,5
2013,4,0,105,17,4,2,0
2012,5,16,168,10,3,3,1
2011,6,35,52,3,7,3,0
2010,7,12,42,14,3,1,1
2009,8,9,45,5,1,2,0
2008,9,12,52,7,2,2,0
2007,10,9,41,6,1,1,1
2006,11,10,28,4,0,0,0
2005,12,6,36,6,1,1,0
2004,13,5,27,5,2,0,0
2003,14,6,36,1,0,0,1
2002,15,8,53,0,0,0,0
2001,16,6,70,2,1,1,2
2000,17,8,61,1,0,0,3
1999,18,16,77,2,0,2,3
1998,19,18,97,2,1,1,1
1997,20,12,123,4,2,2,2
1996,21,23,139,2,0,0,2
1995,22,54,219,5,1,1,0
1994,23,60,272,7,0,5,3
1993,24,66,319,2,3,10,1
1992,25,60,344,3,2,2,2
1991,26,63,345,8,3,1,2
1990,27,85,507,5,1,1,0
1989,28,101,479,10,3,6,3
1988,29,76,375,4,2,1,1
1987,30,83,410,5,2,3,2
1986,31,64,429,12,0,2,3
1985,32,85,421,2,5,2,0
1984,33,60,353,12,2,4,1
1983,34,52,385,7,3,3,2
1982,35,51,300,3,0,4,2
1981,36,68,359,10,6,2,0
1980,37,63,477,4,8,2,2
1979,38,78,469,8,8,2,2
1978,39,85,503,8,6,2,2
1977,40,79,464,5,3,2,1
1976,41,60,432,7,7,4,1
1975,42,56,475,2,4,3,1
1974,43,73,468,9,4,3,2
1973,44,57,443,6,6,3,0
1972,45,90,373,6,4,0,1
1971,46,63,339,10,1,1,0
1970,47,29,310,6,3,1,3
1969,48,44,290,8,3,1,1
1968,49,45,292,2,3,2,0
1967,50,47,225,6,2,4,5
1966,51,28,224,3,2,1,5
1965,52,28,220,4,1,0,0
1964,53,24,153,4,1,3,1
1963,54,22,161,4,2,0,2
1962,55,0,195,2,0,0,0
1961,56,0,169,3,0,2,2
1960,57,0,117,1,0,0,0
1959,58,0,113,4,0,0,0
1958,59,0,109,0,0,2,1
1957,60,0,98,4,3,1,3
1956,61,0,67,0,1,1,0
1955,62,0,77,1,0,1,0
1954,63,0,50,1,0,1,0
1953,64,0,38,0,0,0,1
1952,65,0,38,1,2,0,0
1951,66,0,39,0,1,0,0
1950,67,0,31,0,0,1,0
1949,68,0,26,2,1,1,0
1948,69,0,20,0,0,0,0
1947,,0,24,1,0,0,0
1946,,0,10,0,0,0,0
1945,,0,10,1,0,0,0
1944,,0,10,0,0,0,0
,-50,143,0,0,0,0,0
,-70,0,29,3,4,4,1
,,2353,14357,321,162,125,93
