Year/Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
1983,881,872,848,962,1074,1046,1306,1635,1967,2775,3053,3182,3956,4780,4291,3927,3784,3392,3528,3444,3306,3263,3255,3217,2760,2708,2522,2012,1706,1328,957,621,435,356,283,236,164,168,143,126,138,158,124,186,167,171,200,214,238,277,325,272,
1984,351,371,263,372,418,349,603,828,892,1200,1470,1524,1710,2082,2281,1972,2067,2146,2390,2380,2427,2399,2663,2316,2069,1790,1526,1278,1067,670,536,413,242,247,244,202,171,142,154,139,125,107,118,125,188,187,216,206,254,226,322,255,
1985,170,348,312,303,422,378,497,620,571,750,926,970,1109,1350,1277,1301,1321,1401,1439,1680,1575,1702,1890,1610,1807,1696,1777,1444,1358,960,662,600,361,296,219,198,117,102,109,93,109,131,126,108,167,197,174,282,242,323,333,366,
1986,351,371,263,372,418,349,603,828,892,1200,1470,1524,1710,2082,2281,1972,2067,2146,2390,2380,2427,2399,2663,2316,2069,1790,1526,1278,1067,670,536,413,242,247,244,202,171,142,154,139,125,107,118,125,188,187,216,206,254,226,322,255,
1987,2376,1809,2070,3002,2840,4267,5581,7185,9212,12693,13787,18824,19635,20325,19800,19429,22241,18191,24177,23801,24358,25509,18717,18775,12545,13522,10810,8676,6693,4060,3065,1775,1402,1113,718,589,441,334,325,305,324,310,302,369,455,433,565,557,760,867,1055,798,
1988,1602,1375,1166,1887,1627,2014,2727,2997,3705,4485,4784,5385,6010,6850,6925,6199,7629,6269,8045,7320,8394,9039,7390,8548,6551,6103,4978,4012,3023,2097,1672,1107,777,616,425,322,267,245,198,139,211,211,185,255,298,481,338,618,665,796,1002,799,
1989,941,1200,836,1064,912,888,1420,1522,1882,2239,2329,2553,2938,3322,3495,2931,2814,2733,3176,3761,2850,4083,3565,3524,3417,3332,3229,2470,2141,1453,1026,654,385,333,226,180,159,110,106,97,92,109,131,135,173,166,177,207,200,227,298,254,
1990,278,424,361,387,435,431,639,864,938,1049,1269,1521,1546,1977,1964,1786,2213,1365,2948,2828,2757,2771,2795,3038,2578,2157,1567,1254,1096,747,462,357,293,199,156,155,123,115,126,105,90,105,95,96,101,115,114,176,169,176,152,188,
1991,157,301,276,284,388,391,641,693,949,1280,1511,1876,1993,2548,2533,2442,2621,1794,2785,3300,3618,3944,3505,3544,3929,3010,2447,2319,1596,1263,1066,640,443,410,355,253,184,197,146,173,121,137,135,153,174,193,288,377,459,498,645,656,
1992,431,1166,980,964,1367,1492,1901,2459,2892,3934,5596,5915,7241,8317,8971,8396,7622,10298,8962,10482,13688,13422,13847,13195,12856,9121,9275,8487,6869,4599,3450,2509,1259,1185,851,561,485,291,255,280,223,285,282,347,406,438,518,601,824,908,1106,1132,817
1993,1720,1456,1287,1399,1437,1740,2244,2910,3244,4133,4581,5625,6506,7250,6608,6639,8022,5960,7780,8560,7200,8061,6745,6811,7111,4383,3545,3366,2194,1589,1328,912,651,590,351,263,220,158,159,147,153,171,164,165,235,266,259,281,268,400,319,295,
1994,419,425,402,461,555,583,764,1012,939,1277,1399,1362,1576,1878,2029,1502,1817,1623,1672,1685,1585,1504,1389,1219,1079,875,737,574,438,331,263,172,118,118,124,109,91,130,105,111,114,110,109,104,118,109,99,109,119,169,154,117,
