Week,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1,1,1,3,1,4,25,5,0,1,0,0
2,8,2,1,1,5,99,15,1,1,1,0
3,7,3,1,4,9,77,4,3,1,3,0
4,11,3,1,1,2,113,13,1,3,0,1
5,13,2,2,1,6,115,11,1,1,2,0
6,11,5,3,2,5,208,11,6,0,1,1
7,9,0,0,4,6,200,8,11,3,1,1
8,5,9,1,7,8,311,16,3,5,0,0
9,12,7,2,0,11,313,13,5,3,3,0
10,10,6,1,7,22,325,9,4,3,4,1
11,11,7,3,8,15,401,10,6,1,2,0
12,7,1,0,2,9,400,12,3,2,1,0
13,7,2,2,7,13,502,9,3,2,0,0
14,8,3,2,10,9,591,8,3,5,3,1
15,4,7,4,12,9,665,5,3,5,2,3
16,14,5,6,16,8,692,9,5,1,4,4
17,9,4,1,8,16,723,16,8,1,6,1
18,7,2,2,12,10,552,13,2,2,1,2
19,7,1,1,19,18,852,10,3,4,1,2
20,9,5,2,33,29,825,2,2,2,3,11
21,7,5,1,20,21,852,2,4,9,2,5
22,10,5,4,15,46,851,6,4,5,4,1
23,6,3,4,16,56,661,3,5,7,2,1
24,13,5,2,15,67,704,8,1,7,2,2
25,8,4,1,12,60,636,5,8,5,0,7
26,10,4,2,10,74,459,6,3,3,2,4
27,7,2,3,16,107,459,7,4,3,1,3
28,5,0,2,11,110,372,9,3,4,2,4
29,4,3,1,4,85,246,5,1,3,0,5
30,2,3,1,8,131,190,3,6,0,0,19
31,5,8,2,8,109,162,7,1,1,2,21
32,5,6,2,4,94,121,2,6,0,3,42
33,3,0,1,13,106,85,1,4,0,0,48
34,3,2,1,6,99,86,4,1,1,0,98
35,2,1,1,7,92,66,2,4,2,3,84
36,1,2,0,1,89,51,8,1,4,2,145
37,1,1,2,4,74,55,5,1,3,2,153
38,2,0,1,1,69,38,3,4,3,2,147
39,1,2,1,4,67,25,1,3,1,2,155
40,1,1,0,3,55,34,3,4,3,3,173
41,2,3,2,2,50,24,1,3,0,3,162
42,3,2,1,6,49,24,7,1,2,0,215
43,1,2,1,0,31,18,3,1,2,4,170
44,1,0,1,5,21,20,3,0,1,0,154
45,1,1,0,6,41,17,2,2,4,1,
46,1,0,2,4,39,15,4,2,3,2,
47,4,1,0,6,55,9,1,1,1,1,
48,1,1,2,3,46,12,1,2,2,3,
49,4,1,2,7,58,12,1,3,1,1,
50,2,1,4,5,42,17,3,3,0,0,
51,6,2,0,0,62,18,2,3,0,4,
52,1,1,2,1,67,16,2,1,0,2,
53,,0,,,,,,0,,,
Total,293,147,87,378,2386,14344,319,163,126,93,1692
