BoY,Age,Male_K,Female_K,Total_K,Male_ratio,Female_ratio,Total_ratio
2017,1,534 ,508 ,1,042 ,49.04%,44.44%,46.71%
2016,2,548 ,519 ,1,067 ,50.32%,45.41%,47.83%
2015,3,534 ,509 ,1,044 ,49.04%,44.53%,46.80%
2014,4,534 ,510 ,1,044 ,49.04%,44.62%,46.80%
2013,5,549 ,524 ,1,073 ,50.41%,45.84%,48.10%
2012,6,547 ,522 ,1,069 ,50.23%,45.67%,47.92%
2011,7,543 ,518 ,1,061 ,49.86%,45.32%,47.56%
2010,8,542 ,517 ,1,059 ,49.77%,45.23%,47.47%
2009,9,562 ,537 ,1,099 ,51.61%,46.98%,49.26%
2008,10,573 ,545 ,1,118 ,52.62%,47.68%,50.11%
2007,11,589 ,561 ,1,149 ,54.09%,49.08%,51.50%
2006,12,597 ,568 ,1,166 ,54.82%,49.69%,52.26%
2005,13,604 ,573 ,1,177 ,55.46%,50.13%,52.76%
2004,14,604 ,576 ,1,179 ,55.46%,50.39%,52.85%
2003,15,613 ,585 ,1,198 ,56.29%,51.18%,53.70%
2002,16,610 ,583 ,1,193 ,56.01%,51.01%,53.47%
2001,17,608 ,578 ,1,186 ,55.83%,50.57%,53.16%
2000,18,630 ,599 ,1,229 ,57.85%,52.41%,55.09%
1999,19,637 ,604 ,1,241 ,58.49%,52.84%,55.63%
1998,20,626 ,595 ,1,221 ,57.48%,52.06%,54.73%
1997,21,635 ,602 ,1,238 ,58.31%,52.67%,55.49%
1996,22,630 ,598 ,1,228 ,57.85%,52.32%,55.04%
1995,23,639 ,607 ,1,246 ,58.68%,53.11%,55.85%
1994,24,651 ,621 ,1,272 ,59.78%,54.33%,57.01%
1993,25,668 ,636 ,1,304 ,61.34%,55.64%,58.45%
1992,26,681 ,652 ,1,334 ,62.53%,57.04%,59.79%
1991,27,695 ,665 ,1,360 ,63.82%,58.18%,60.96%
1990,28,720 ,695 ,1,414 ,66.12%,60.80%,63.38%
1989,29,742 ,717 ,1,458 ,68.14%,62.73%,65.35%
1988,30,750 ,726 ,1,475 ,68.87%,63.52%,66.11%
1987,31,750 ,730 ,1,480 ,68.87%,63.87%,66.34%
1986,32,760 ,738 ,1,498 ,69.79%,64.57%,67.14%
1985,33,793 ,772 ,1,565 ,72.82%,67.54%,70.15%
1984,34,814 ,791 ,1,605 ,74.75%,69.20%,71.94%
1983,35,848 ,826 ,1,674 ,77.87%,72.27%,75.03%
1982,36,869 ,846 ,1,715 ,79.80%,74.02%,76.87%
1981,37,913 ,887 ,1,801 ,83.84%,77.60%,80.73%
1980,38,955 ,929 ,1,884 ,87.70%,81.28%,84.45%
1979,39,1,007 ,979 ,1,986 ,92.47%,85.65%,89.02%
1978,40,1,023 ,999 ,2,022 ,93.94%,87.40%,90.63%
1977,41,1,006 ,978 ,1,983 ,92.38%,85.56%,88.88%
1976,42,977 ,955 ,1,933 ,89.72%,83.55%,86.64%
1975,43,950 ,929 ,1,879 ,87.24%,81.28%,84.22%
1974,44,932 ,918 ,1,850 ,85.58%,80.31%,82.92%
1973,45,912 ,899 ,1,811 ,83.75%,78.65%,81.17%
1972,46,909 ,895 ,1,805 ,83.47%,78.30%,80.91%
1971,47,709 ,703 ,1,412 ,65.11%,61.50%,63.29%
1970,48,877 ,869 ,1,746 ,80.53%,76.03%,78.26%
1969,49,821 ,811 ,1,633 ,75.39%,70.95%,73.20%
1968,50,799 ,794 ,1,594 ,73.37%,69.47%,71.45%
1967,51,772 ,769 ,1,541 ,70.89%,67.28%,69.07%
1966,52,759 ,757 ,1,516 ,69.70%,66.23%,67.95%
1965,53,764 ,764 ,1,528 ,70.16%,66.84%,68.49%
1964,54,776 ,779 ,1,555 ,71.26%,68.15%,69.70%
1963,55,753 ,761 ,1,514 ,69.15%,66.58%,67.86%
1962,56,732 ,740 ,1,472 ,67.22%,64.74%,65.98%
1961,57,768 ,778 ,1,546 ,70.52%,68.07%,69.30%
