birth,age,total,-2^3,2^3,2^4,2^5,2^6,2^7,2^8,2^9,2^10-,2^3-%
2009,0-5M,5,3,0,1,0,1,0,0,0,0,40.0%
2009,6-11M,23,21,0,0,1,1,0,0,0,0,8.7%
2008,1,72,18,1,2,4,14,16,9,3,5,75.0%
2007,2,46,2,2,4,6,10,8,5,3,6,95.7%
2006,3,48,5,0,5,10,8,13,2,3,2,89.6%
2005,4,41,2,3,4,5,3,8,9,5,2,95.1%
2004,5,29,2,2,2,2,7,6,6,1,1,93.1%
2003,6,38,0,1,1,5,9,8,4,3,7,100.0%
2002,7,40,1,0,1,9,7,14,3,3,2,97.5%
2001,8,43,0,1,4,16,14,5,2,1,0,100.0%
2000,9,64,3,10,9,13,18,7,4,0,0,95.3%
1999,10,77,5,3,8,21,19,13,6,1,1,93.5%
1998,11,53,5,3,12,10,6,11,5,0,1,90.6%
1997,12,37,4,5,5,9,7,5,2,0,0,89.2%
1996,13,56,6,0,4,12,18,11,5,0,0,89.3%
1995,14,39,0,5,2,10,12,6,3,0,1,100.0%
1994,15,47,5,0,7,12,12,9,1,0,1,89.4%
1993,16,31,4,1,3,11,6,4,2,0,0,87.1%
1992,17,20,2,2,0,9,2,2,2,1,0,90.0%
1991,18,76,3,1,7,19,34,5,6,1,0,96.1%
1990,19,43,2,0,3,16,9,9,4,0,0,95.3%
1989,20,37,4,2,8,7,7,6,2,1,0,89.2%
1988,21,47,4,2,7,9,11,10,1,3,0,91.5%
1987,22,63,3,1,10,8,15,13,8,4,1,95.2%
1986,23,56,1,0,6,7,22,11,6,1,2,98.2%
1985,24,58,2,4,2,9,16,18,5,2,0,96.6%
1984,25,47,2,0,0,13,13,17,1,1,0,95.7%
1983,26,59,3,1,4,4,18,11,11,6,1,94.9%
1982,27,56,2,1,6,8,19,10,7,1,2,96.4%
1981,28,53,3,0,5,9,13,12,6,4,1,94.3%
1980,29,44,0,0,3,8,10,12,7,4,0,100.0%
1979,30,37,1,1,1,8,11,5,8,2,0,97.3%
1978,31,46,4,2,2,8,15,9,3,3,0,91.3%
1977,32,60,0,1,7,11,15,13,9,4,0,100.0%
1976,33,73,2,3,8,13,19,18,5,4,1,97.3%
1975,34,58,1,4,6,8,14,16,8,1,0,98.3%
1974,35,32,1,0,5,7,8,5,4,2,0,96.9%
1973,36,47,2,2,5,8,12,10,5,3,0,95.7%
1972,37,46,1,1,2,14,10,11,5,1,1,97.8%
1971,38,44,3,2,2,10,11,9,6,1,0,93.2%
1970,39,36,0,0,5,3,15,9,2,2,0,100.0%
1969,40,29,2,1,1,8,8,4,4,1,0,93.1%
1968,41,41,0,3,3,3,12,10,8,2,0,100.0%
1967,42,28,1,0,4,4,10,5,1,2,1,96.4%
1966,43,20,1,0,2,3,3,3,5,2,1,95.0%
1965,44,18,1,0,4,0,7,0,2,4,0,94.4%
1964,45,26,0,1,1,4,8,6,5,1,0,100.0%
1963,46,28,1,3,4,3,3,6,4,1,3,96.4%
1962,47,26,4,1,1,5,3,7,1,3,1,84.6%
1961,48,23,5,0,2,6,4,3,0,2,1,78.3%
1960,49,18,2,0,1,3,5,2,1,4,0,88.9%
1959,50,15,0,0,0,4,4,1,4,2,0,100.0%
1958,51,15,2,1,0,2,2,2,4,2,0,86.7%
1957,52,19,2,0,4,5,3,2,3,0,0,89.5%
1956,53,15,0,1,1,3,4,0,2,4,0,100.0%
1955,54,16,1,0,1,4,4,3,1,1,1,93.8%
1954,55,22,1,0,2,3,2,6,5,3,0,95.5%
1953,56,5,0,0,0,0,2,2,0,1,0,100.0%
1952,57,18,1,0,3,3,6,4,1,0,0,94.4%
1951,58,16,1,0,0,6,2,3,1,2,1,93.8%
1950,59,10,0,0,1,2,4,2,0,1,0,100.0%
1949,60,14,3,0,2,0,4,2,3,0,0,78.6%
1948,61,5,1,0,0,2,1,1,0,0,0,80.0%
1947,62,5,0,1,1,1,1,1,0,0,0,100.0%
1946,63,6,1,1,0,1,0,2,1,0,0,83.3%
1945,64,1,0,1,0,0,0,0,0,0,0,100.0%
1944,65,3,0,1,1,0,0,1,0,0,0,100.0%
1943,66,5,0,0,1,1,2,0,0,1,0,100.0%
1942,67,5,0,0,2,0,2,1,0,0,0,100.0%
1941,68,1,0,0,0,1,0,0,0,0,0,100.0%
1940,69,2,0,1,0,0,0,1,0,0,0,100.0%
1939,70-,13,2,0,2,6,2,1,0,0,0,84.6%
