birth	age	total	-2^3	2^3	2^4	2^5	2^6	2^7	2^8	2^9	2^10-	2^3-%
2012	0-5M	7	1	0	3	2	0	1	0	0	0	85.7%
2012	6-11M	35	29	2	1	0	0	1	1	1	0	17.1%
2011	1	81	23	2	5	7	9	17	13	3	2	71.6%
2010	2	56	2	3	0	7	9	19	7	7	2	96.4%
2009	3	53	3	2	3	9	17	9	8	2	0	94.3%
2008	4	40	6	1	1	8	9	6	9	0	0	85.0%
2007	5	35	2	2	2	5	6	11	3	3	1	94.3%
2006	6	39	0	1	3	4	9	17	5	0	0	100.0%
2005	7	31	0	0	3	6	10	6	5	1	0	100.0%
2004	8	37	2	2	6	10	6	8	3	0	0	94.6%
2003	9	36	2	0	3	7	17	5	2	0	0	94.4%
2002	10	51	1	5	4	7	22	10	2	0	0	98.0%
2001	11	32	2	1	4	8	9	6	2	0	0	93.8%
2000	12	40	3	1	1	5	15	10	5	0	0	92.5%
1999	13	46	1	2	2	10	13	7	10	1	0	97.8%
1998	14	46	1	0	5	6	16	11	5	1	1	97.8%
1997	15	35	4	0	3	2	11	11	3	1	0	88.6%
1996	16	28	0	0	3	6	9	6	3	0	1	100.0%
1995	17	36	3	0	5	5	13	5	2	2	1	91.7%
1994	18	97	3	1	10	23	27	22	8	3	0	96.9%
1993	19	40	2	1	1	5	16	6	6	3	0	95.0%
1992	20	37	2	0	4	5	11	9	4	2	0	94.6%
1991	21	46	2	0	1	8	18	12	5	0	0	95.7%
1990	22	58	2	1	4	19	15	10	4	2	1	96.6%
1989	23	92	4	4	10	20	30	15	5	2	2	95.7%
1988	24	71	6	0	8	18	17	14	6	2	0	91.5%
1987	25	55	2	0	7	12	15	12	4	3	0	96.4%
1986	26	62	3	0	3	10	19	14	9	4	0	95.2%
1985	27	53	4	0	1	8	15	18	3	3	1	92.5%
1984	28	84	6	1	4	15	22	19	12	4	1	92.9%
1983	29	62	3	1	3	6	17	20	11	0	1	95.2%
1982	30	63	4	1	3	8	15	23	7	2	0	93.7%
1981	31	58	1	1	4	8	15	12	7	8	2	98.3%
1980	32	83	3	0	4	14	20	20	13	7	2	96.4%
1979	33	69	0	0	3	9	23	17	12	3	2	100.0%
1978	34	64	0	0	1	10	15	27	8	1	2	100.0%
1977	35	47	0	1	4	10	16	11	4	1	0	100.0%
1976	36	72	2	0	3	10	19	21	8	7	2	97.2%
1975	37	70	2	1	2	12	21	15	11	5	1	97.1%
1974	38	78	2	2	7	15	20	18	10	3	1	97.4%
1973	39	72	2	3	4	18	15	22	5	3	0	97.2%
1972	40	57	0	1	2	8	16	19	6	3	2	100.0%
1971	41	49	2	0	1	5	11	15	10	4	1	95.9%
1970	42	44	0	0	1	8	14	12	6	2	1	100.0%
1969	43	52	2	1	1	7	14	19	3	3	2	96.2%
1968	44	62	1	0	3	11	8	20	7	8	4	98.4%
1967	45	38	0	1	1	7	8	8	9	3	1	100.0%
1966	46	30	2	1	1	3	10	6	2	4	1	93.3%
1965	47	26	3	0	1	2	6	6	3	4	1	88.5%
1964	48	29	0	0	1	8	4	6	7	3	0	100.0%
1963	49	23	0	0	1	2	3	9	4	1	3	100.0%
1962	50	29	2	1	1	2	8	7	7	1	0	93.1%
1961	51	24	6	1	2	2	3	4	5	0	1	75.0%
1960	52	21	2	1	2	1	2	3	5	3	2	90.5%
1959	53	9	1	2	1	1	1	2	1	0	0	88.9%
1958	54	21	2	0	1	2	4	4	6	1	1	90.5%
1957	55	17	3	0	0	2	2	6	0	4	0	82.4%
1956	56	19	2	1	0	3	3	3	4	3	0	89.5%
1955	57	17	2	1	2	1	6	1	2	2	0	88.2%
1954	58	18	3	1	1	2	3	3	4	1	0	83.3%
1953	59	9	2	0	1	3	3	0	0	0	0	77.8%
1952	60	12	1	0	2	1	5	1	2	0	0	91.7%
1951	61	12	1	0	1	0	2	5	3	0	0	91.7%
1950	62	4	0	0	0	1	1	0	2	0	0	100.0%
1949	63	14	0	0	1	4	2	4	2	0	1	100.0%
1948	64	8	0	0	0	1	2	2	0	2	1	100.0%
1947	65	5	0	0	1	2	0	1	1	0	0	100.0%
1946	66	5	1	0	0	2	0	1	1	0	0	80.0%
1945	67	2	0	0	0	1	1	0	0	0	0	100.0%
1944	68	5	1	0	0	2	2	0	0	0	0	80.0%
1943	69	1	0	0	0	0	0	0	1	0	0	100.0%
1942	70-	10	1	0	1	1	1	1	3	1	1	90.0%
