birth,age,total,-2^3,2^3,2^4,2^5,2^6,2^7,2^8,2^9,2^10-,2^3-%
2014,0-5M,17,5,4,3,4,0,0,0,1,0,70.6
2014,6-11M,38,36,0,1,0,0,1,0,0,0,5.3
2013,1,98,36,5,4,6,13,17,10,4,3,63.3
2012,2,66,2,5,9,6,11,12,16,4,1,97
2011,3,55,2,3,5,8,16,12,7,1,1,96.4
2010,4,48,5,1,8,14,6,9,4,1,0,89.6
2009,5,52,1,4,5,8,17,7,7,2,1,98.1
2008,6,58,1,3,2,9,20,17,6,0,0,98.3
2007,7,37,0,0,4,13,8,10,1,0,1,100
2006,8,36,3,2,4,6,10,6,5,0,0,91.7
2005,9,42,1,2,5,12,8,9,3,2,0,97.6
2004,10,44,3,1,4,9,22,3,2,0,0,93.2
2003,11,37,0,4,4,10,17,2,0,0,0,100
2002,12,55,1,4,4,18,18,7,3,0,0,98.2
2001,13,61,2,3,3,24,19,9,1,0,0,96.7
2000,14,44,3,5,4,12,11,6,3,0,0,93.2
1999,15,41,1,0,1,14,13,7,5,0,0,97.6
1998,16,50,2,4,5,9,16,9,4,1,0,96
1997,17,36,1,1,5,10,13,4,2,0,0,97.2
1996,18,63,1,2,8,23,19,10,0,0,0,98.4
1995,19,50,1,3,5,12,15,10,4,0,0,98
1994,20,51,3,0,4,13,15,11,5,0,0,94.1
1993,21,40,5,2,5,8,12,5,2,0,1,87.5
1992,22,53,2,1,5,16,9,15,2,3,0,96.2
1991,23,66,2,2,13,18,15,8,6,2,0,97
1990,24,64,2,4,8,11,13,14,12,0,0,96.9
1989,25,67,3,0,8,18,15,17,4,1,1,95.5
1988,26,52,2,1,3,17,12,6,7,4,0,96.2
1987,27,60,2,4,3,11,15,14,6,4,1,96.7
1986,28,66,1,4,6,16,11,10,14,3,1,98.5
1985,29,66,4,1,2,8,22,15,11,2,1,93.9
1984,30,66,5,1,4,7,10,18,12,6,3,92.4
1983,31,67,4,0,1,7,19,22,9,4,1,94
1982,32,57,4,0,6,3,14,16,11,2,1,93
1981,33,47,1,0,2,10,7,14,7,1,5,97.9
1980,34,54,0,1,2,3,14,18,7,8,1,100
1979,35,44,1,0,1,7,14,10,4,6,1,97.7
1978,36,54,1,2,5,9,14,12,8,0,3,98.1
1977,37,47,2,1,2,9,13,8,8,2,2,95.7
1976,38,78,2,5,2,17,21,14,4,11,2,97.4
1975,39,57,2,4,5,7,13,10,7,6,3,96.5
1974,40,40,2,3,2,9,10,11,3,0,0,95
1973,41,44,3,1,7,4,8,11,6,3,1,93.2
1972,42,36,0,0,3,4,7,8,9,2,3,100
1971,43,28,0,0,1,6,7,3,7,3,1,100
1970,44,29,1,0,0,4,9,8,5,2,0,96.6
1969,45,28,0,1,1,3,6,9,5,3,0,100
1968,46,35,0,1,2,6,6,4,10,4,2,100
1967,47,35,1,1,3,2,6,9,6,4,3,97.1
1966,48,21,0,0,4,3,2,6,5,0,1,100
1965,49,37,2,1,3,5,5,8,6,5,2,94.6
1964,50,28,0,0,1,6,5,8,4,2,2,100
1963,51,35,3,0,1,1,6,11,9,1,3,91.4
1962,52,22,1,2,3,0,4,7,2,2,1,95.5
1961,53,35,3,0,2,10,4,4,6,3,3,91.4
1960,54,32,4,0,4,3,3,7,3,4,4,87.5
1959,55,19,3,0,3,4,2,4,3,0,0,84.2
1958,56,22,2,0,1,2,4,4,3,3,3,90.9
1957,57,14,1,0,0,1,1,7,2,2,0,92.9
1956,58,17,2,0,1,2,2,5,4,0,1,88.2
1955,59,14,1,2,3,2,1,1,1,2,1,92.9
1954,60,15,1,1,1,4,4,2,0,0,2,93.3
1953,61,11,0,0,2,2,1,3,2,1,0,100
1952,62,10,2,1,1,2,0,1,3,0,0,80
1951,63,13,2,1,1,2,2,1,3,0,1,84.6
1950,64,10,1,1,0,1,1,4,0,1,1,90
1949,65,9,0,1,1,0,2,2,2,1,0,100
1948,66,6,0,0,1,1,1,2,1,0,0,100
1947,67,5,1,0,0,1,0,1,0,1,1,80
1946,68,1,0,0,0,0,0,0,0,1,0,100
1945,69,2,0,0,0,0,0,1,1,0,0,100
1944,70-,22,2,1,4,1,4,3,4,1,2,90.9
