birth,age,total,-2^3,2^3,2^4,2^5,2^6,2^7,2^8,2^9,2^10-,2^3-%
2007,0-5M,10,5,2,1,1,0,0,1,0,0,50.0%
2007,6-11M,41,37,3,0,0,1,0,0,0,0,9.8%
2006,1,75,28,5,4,8,7,11,6,5,1,62.7%
2005,2,62,1,2,4,5,10,20,14,6,0,98.4%
2004,3,60,5,1,2,6,13,19,9,4,1,91.7%
2003,4,55,2,2,8,10,12,8,11,2,0,96.4%
2002,5,44,1,2,4,6,10,13,8,0,0,97.7%
2001,6,54,1,1,6,5,18,13,7,2,1,98.1%
2000,7,31,2,1,6,7,8,3,4,0,0,93.5%
1999,8,39,8,1,7,4,9,7,2,1,0,79.5%
1998,9,56,10,3,9,14,12,5,3,0,0,82.1%
1997,10,62,7,2,12,16,12,10,2,1,0,88.7%
1996,11,58,6,1,13,17,12,5,4,0,0,89.7%
1995,12,35,4,4,9,11,3,2,2,0,0,88.6%
1994,13,76,12,2,17,20,15,7,2,1,0,84.2%
1993,14,83,8,1,26,19,16,9,2,2,0,90.4%
1992,15,40,8,1,4,7,12,6,2,0,0,80.0%
1991,16,40,9,4,8,5,7,5,1,1,0,77.5%
1990,17,30,7,2,0,5,7,6,3,0,0,76.7%
1989,18,17,3,2,1,8,2,0,1,0,0,82.4%
1988,19,26,4,1,3,3,6,4,5,0,0,84.6%
1987,20,29,3,0,1,2,12,9,2,0,0,89.7%
1986,21,31,2,1,1,6,8,8,4,1,0,93.5%
1985,22,34,3,1,2,3,7,10,6,2,0,91.2%
1984,23,29,3,1,0,3,5,10,5,2,0,89.7%
1983,24,38,5,1,1,2,8,11,7,3,0,86.8%
1982,25,42,4,0,1,2,13,13,7,2,0,90.5%
1981,26,40,4,0,0,3,11,10,10,2,0,90.0%
1980,27,50,12,2,1,2,12,10,7,4,0,76.0%
1979,28,39,14,0,1,1,5,11,7,0,0,64.1%
1978,29,45,8,0,1,7,10,10,6,3,0,82.2%
1977,30,40,14,1,4,3,7,6,5,0,0,65.0%
1976,31,46,12,1,2,6,10,6,8,1,0,73.9%
1975,32,57,16,1,3,3,11,11,10,1,1,71.9%
1974,33,73,18,2,1,2,19,15,14,2,0,75.3%
1973,34,56,12,1,4,8,6,12,7,5,1,78.6%
1972,35,69,16,0,5,8,14,15,11,0,0,76.8%
1971,36,36,11,0,0,2,8,7,4,2,2,69.4%
1970,37,44,10,0,1,8,9,10,3,2,1,77.3%
1969,38,54,12,0,2,2,12,11,12,3,0,77.8%
1968,39,46,8,0,1,3,9,13,5,4,3,82.6%
1967,40,29,9,0,0,0,4,6,5,4,1,69.0%
1966,41,29,4,0,0,1,3,9,11,0,1,86.2%
1965,42,35,9,0,0,4,5,6,9,2,0,74.3%
1964,43,22,4,0,1,1,2,4,4,4,2,81.8%
1963,44,20,5,1,0,3,3,4,3,1,0,75.0%
1962,45,27,9,0,2,1,6,5,3,1,0,66.7%
1961,46,22,6,0,1,1,3,3,6,2,0,72.7%
1960,47,32,5,1,0,1,8,12,3,2,0,84.4%
1959,48,27,3,0,1,3,9,9,2,0,0,88.9%
1958,49,15,0,0,1,3,4,3,1,1,2,100.0%
1957,50,18,6,0,1,2,1,4,2,1,1,66.7%
1956,51,11,2,0,0,2,2,2,1,1,1,81.8%
1955,52,24,1,0,2,3,4,8,4,2,0,95.8%
1954,53,11,1,2,0,4,0,2,2,0,0,90.9%
1953,54,23,0,1,2,4,4,5,4,2,1,100.0%
1952,55,17,1,0,0,3,5,5,2,1,0,94.1%
1951,56,12,1,0,0,2,4,3,2,0,0,91.7%
1950,57,17,1,0,2,2,3,6,1,2,0,94.1%
1949,58,21,2,0,1,3,7,5,2,1,0,90.5%
1948,59,23,1,1,3,3,5,6,3,0,1,95.7%
1947,60,13,1,2,0,1,3,3,3,0,0,92.3%
1946,61,7,0,1,2,1,2,0,1,0,0,100.0%
1945,62,6,1,0,1,0,1,2,0,1,0,83.3%
1944,63,7,1,1,0,0,3,0,0,2,0,85.7%
1943,64,9,1,2,0,2,1,2,1,0,0,88.9%
1942,65,6,1,0,0,2,1,2,0,0,0,83.3%
1941,66,4,0,0,2,0,0,0,2,0,0,100.0%
1940,67,1,0,0,0,0,0,0,1,0,0,100.0%
1939,68,5,0,0,1,0,0,2,1,1,0,100.0%
1938,69,5,0,0,0,0,3,2,0,0,0,100.0%
1937,70-,15,3,1,1,2,4,1,2,1,0,80.0%
