birth	age	total	-2^3	2^3	2^4	2^5	2^6	2^7	2^8	2^9	2^10-	2^3-%
2012	0-5M	12	2	3	2	2	2	0	1	0	0	83.3%
2012	6-11M	45	39	4	1	1	0	0	0	0	0	13.3%
2011	1	86	34	1	3	5	7	13	14	8	1	60.5%
2010	2	79	7	2	5	10	22	15	11	4	3	91.1%
2009	3	59	1	0	5	16	17	9	9	2	0	98.3%
2008	4	50	6	1	4	16	4	11	5	3	0	88.0%
2007	5	39	1	3	4	7	11	10	2	0	1	97.4%
2006	6	39	2	1	1	6	13	9	5	1	1	94.9%
2005	7	37	0	2	1	9	9	12	4	0	0	100.0%
2004	8	29	3	3	2	6	8	4	3	0	0	89.7%
2003	9	43	4	3	4	10	12	8	2	0	0	90.7%
2002	10	52	4	3	5	13	11	13	3	0	0	92.3%
2001	11	39	3	3	3	13	10	6	1	0	0	92.3%
2000	12	43	3	1	4	12	9	7	3	4	0	93.0%
1999	13	50	1	2	6	11	11	13	6	0	0	98.0%
1998	14	39	1	1	3	9	11	6	6	1	1	97.4%
1997	15	40	3	0	3	11	11	9	2	1	0	92.5%
1996	16	34	0	1	3	12	12	3	2	1	0	100.0%
1995	17	21	3	0	3	4	5	6	0	0	0	85.7%
1994	18	15	0	0	1	3	3	3	3	2	0	100.0%
1993	19	27	0	1	5	7	8	4	1	0	1	100.0%
1992	20	14	0	0	1	3	5	3	1	0	1	100.0%
1991	21	16	1	1	1	7	5	1	0	0	0	93.8%
1990	22	27	7	2	5	5	4	2	2	0	0	74.1%
1989	23	45	5	2	6	7	8	10	5	0	2	88.9%
1988	24	53	8	1	5	19	11	7	2	0	0	84.9%
1987	25	52	2	1	5	15	14	11	3	1	0	96.2%
1986	26	39	5	1	2	5	9	11	6	0	0	87.2%
1985	27	49	4	0	4	7	12	13	9	0	0	91.8%
1984	28	39	1	0	4	3	5	11	10	4	1	97.4%
1983	29	39	3	0	0	6	8	13	5	3	1	92.3%
1982	30	45	3	0	2	7	10	13	6	2	2	93.3%
1981	31	45	6	0	3	7	6	10	8	5	0	86.7%
1980	32	50	9	1	0	7	9	15	6	3	0	82.0%
1979	33	52	11	1	1	5	6	15	10	2	1	78.8%
1978	34	40	7	0	1	7	8	6	7	4	0	82.5%
1977	35	46	11	0	0	5	13	12	2	3	0	76.1%
1976	36	41	13	0	0	2	5	8	10	2	1	68.3%
1975	37	45	15	2	2	2	7	8	6	2	1	66.7%
1974	38	46	10	0	3	5	9	10	5	3	1	78.3%
1973	39	39	10	0	1	5	8	5	7	1	2	74.4%
1972	40	27	4	1	1	4	3	7	6	1	0	85.2%
1971	41	30	5	0	0	8	6	4	6	1	0	83.3%
1970	42	30	4	0	0	4	4	14	4	0	0	86.7%
1969	43	23	3	1	0	2	3	3	6	3	2	87.0%
1968	44	32	4	1	0	2	4	5	8	6	2	87.5%
1967	45	23	1	0	0	1	3	8	2	8	0	95.7%
1966	46	16	4	0	0	1	4	1	4	1	1	75.0%
1965	47	28	7	0	1	2	8	5	2	3	0	75.0%
1964	48	25	7	0	0	3	1	9	3	1	1	72.0%
1963	49	19	2	0	0	1	3	6	4	2	1	89.5%
1962	50	27	8	0	1	2	2	5	5	1	3	70.4%
1961	51	22	4	1	0	1	4	4	4	1	3	81.8%
1960	52	27	3	0	0	2	4	7	6	5	0	88.9%
1959	53	16	2	1	0	2	3	3	2	0	3	87.5%
1958	54	32	4	1	1	2	9	9	3	3	0	87.5%
1957	55	14	0	0	1	2	0	5	5	1	0	100.0%
1956	56	16	2	0	3	2	0	4	4	0	1	87.5%
1955	57	16	0	0	1	2	2	7	2	1	1	100.0%
1954	58	15	3	0	1	3	2	2	3	1	0	80.0%
1953	59	5	0	0	1	1	0	0	2	1	0	100.0%
1952	60	11	0	0	1	2	2	3	1	2	0	100.0%
1951	61	9	2	0	0	0	0	3	3	1	0	77.8%
1950	62	13	0	0	0	1	4	3	2	3	0	100.0%
1949	63	14	1	0	0	2	3	0	5	2	1	92.9%
1948	64	4	1	0	0	0	2	0	0	0	1	75.0%
1947	65	6	1	0	0	0	1	3	1	0	0	83.3%
1946	66	7	0	0	1	0	1	2	1	0	2	100.0%
1945	67	5	0	0	0	0	2	1	2	0	0	100.0%
1944	68	5	0	0	1	0	1	3	0	0	0	100.0%
1943	69	3	0	0	0	1	0	1	1	0	0	100.0%
1942	70-	5	1	0	0	2	1	0	0	1	0	80.0%
