birth,age,total,-2^3,2^3,2^4,2^5,2^6,2^7,2^8,2^9,2^10-,2^3-%
2015,0-5M,26,12,6,3,3,1,1,0,0,0,53.8
2015,6-11M,53,46,4,1,1,1,0,0,0,0,13.2
2014,1,107,34,7,6,10,15,17,12,6,0,68.2
2013,2,67,3,4,0,15,21,11,8,4,1,95.5
2012,3,63,5,3,12,10,11,14,5,3,0,92.1
2011,4,43,2,2,7,15,10,6,1,0,0,95.3
2010,5,48,3,6,7,12,7,7,4,1,1,93.8
2009,6,43,2,1,3,16,10,7,3,1,0,95.3
2008,7,45,1,1,6,16,16,3,2,0,0,97.8
2007,8,30,0,2,5,12,5,6,0,0,0,100
2006,9,46,2,2,12,14,9,6,1,0,0,95.7
2005,10,42,0,3,9,13,12,5,0,0,0,100
2004,11,46,1,5,7,13,13,4,2,1,0,97.8
2003,12,48,2,5,9,13,14,5,0,0,0,95.8
2002,13,53,6,4,7,19,9,4,3,0,1,88.7
2001,14,37,3,7,6,13,3,2,2,1,0,91.9
2000,15,43,2,7,9,14,9,1,1,0,0,95.3
1999,16,26,1,0,3,7,6,4,3,1,1,96.2
1998,17,22,1,1,3,2,7,3,4,1,0,95.5
1997,18,55,4,6,9,12,17,6,1,0,0,92.7
1996,19,39,1,2,10,10,10,5,1,0,0,97.4
1995,20,37,4,0,6,12,8,6,1,0,0,89.2
1994,21,38,3,1,5,15,9,5,0,0,0,92.1
1993,22,39,1,1,8,15,9,1,2,1,1,97.4
1992,23,58,1,2,8,18,12,7,6,3,1,98.3
1991,24,47,0,2,7,14,12,7,4,0,1,100
1990,25,50,6,3,10,11,9,5,3,3,0,88
1989,26,64,6,8,7,14,11,14,2,1,1,90.6
1988,27,45,8,5,6,9,6,6,3,1,1,82.2
1987,28,56,8,0,6,10,11,13,7,1,0,85.7
1986,29,47,2,1,4,10,8,9,9,3,1,95.7
1985,30,46,2,0,2,9,10,5,9,7,2,95.7
1984,31,67,3,0,4,9,10,18,16,3,4,95.5
1983,32,56,3,1,4,9,14,10,11,3,1,94.6
1982,33,42,0,3,2,6,11,11,7,2,0,100
1981,34,49,5,2,4,7,12,7,7,5,0,89.8
1980,35,38,7,0,4,8,2,8,7,1,1,81.6
1979,36,41,10,0,0,2,7,10,7,5,0,75.6
1978,37,37,10,0,4,3,9,8,2,0,1,73
1977,38,54,12,3,4,2,6,16,7,3,1,77.8
1976,39,53,10,2,3,3,12,10,7,5,1,81.1
1975,40,21,5,1,2,2,4,4,2,0,1,76.2
1974,41,26,8,0,1,2,7,2,4,0,2,69.2
1973,42,29,9,0,2,0,7,4,3,2,2,69
1972,43,28,8,0,2,7,4,3,4,0,0,71.4
1971,44,38,6,2,2,5,5,9,3,3,3,84.2
1970,45,19,3,0,0,3,2,7,3,1,0,84.2
1969,46,27,5,0,0,4,4,3,6,4,1,81.5
1968,47,31,5,0,0,3,6,6,7,2,2,83.9
1967,48,29,6,0,1,3,8,4,5,0,2,79.3
1966,49,22,7,0,2,1,4,3,3,1,1,68.2
1965,50,29,8,0,1,3,1,7,2,4,3,72.4
1964,51,34,10,0,0,2,6,8,3,5,0,70.6
1963,52,33,4,0,2,5,4,8,7,2,1,87.9
1962,53,29,6,0,1,3,6,3,5,5,0,79.3
1961,54,26,3,0,1,0,5,7,7,2,1,88.5
1960,55,22,6,0,0,2,6,2,4,2,0,72.7
1959,56,25,3,1,1,3,2,5,4,5,1,88
1958,57,26,6,0,2,3,4,2,6,2,1,76.9
1957,58,20,2,0,0,2,5,5,6,0,0,90
1956,59,17,2,1,1,1,3,4,3,2,0,88.2
1955,60,25,1,0,0,5,1,6,5,6,1,96
1954,61,19,1,1,2,2,3,3,6,1,0,94.7
1953,62,19,2,0,1,5,2,4,1,3,1,89.5
1952,63,17,0,0,4,2,4,4,2,0,1,100
1951,64,13,0,1,2,1,1,4,1,1,2,100
1950,65,6,1,0,0,2,2,0,1,0,0,83.3
1949,66,9,0,0,1,0,2,3,2,0,1,100
1948,67,7,0,0,3,0,2,1,1,0,0,100
1947,68,10,1,1,1,1,2,1,2,0,1,90
1946,69,5,0,0,0,3,0,1,1,0,0,100
1945,70-,14,1,0,1,2,5,1,2,1,1,92.9
