birth,age,total,-2^3,2^3,2^4,2^5,2^6,2^7,2^8,2^9,2^10-,2^3-%
2007,0-5M,17,8,4,2,2,0,0,1,0,0,52.9%
2007,6-11M,76,67,8,0,0,1,0,0,0,0,11.8%
2006,1,144,43,7,7,19,18,25,13,8,4,70.1%
2005,2,130,2,4,7,17,22,36,27,13,2,98.5%
2004,3,117,7,1,2,15,21,42,21,7,1,94.0%
2003,4,103,5,4,10,16,24,21,18,5,0,95.1%
2002,5,81,2,2,7,10,26,22,11,1,0,97.5%
2001,6,95,3,1,6,8,31,26,16,3,1,96.8%
2000,7,69,2,2,9,11,21,13,7,4,0,97.1%
1999,8,91,15,2,15,14,22,17,5,1,0,83.5%
1998,9,98,15,4,18,25,21,9,6,0,0,84.7%
1997,10,124,12,5,22,27,32,19,5,2,0,90.3%
1996,11,119,12,3,21,41,24,12,4,2,0,89.9%
1995,12,71,11,6,15,24,8,4,3,0,0,84.5%
1994,13,122,16,5,22,35,24,16,3,1,0,86.9%
1993,14,156,14,3,37,43,37,14,6,2,0,91.0%
1992,15,83,9,1,13,15,26,13,6,0,0,89.2%
1991,16,84,15,6,11,15,17,13,4,3,0,82.1%
1990,17,59,9,2,1,10,18,13,4,2,0,84.7%
1989,18,49,3,2,2,18,9,10,5,0,0,93.9%
1988,19,106,11,2,14,25,27,21,5,0,1,89.6%
1987,20,70,4,4,4,12,22,15,8,1,0,94.3%
1986,21,92,6,2,5,17,19,27,10,5,1,93.5%
1985,22,88,7,2,2,10,20,30,12,5,0,92.0%
1984,23,84,5,2,3,8,15,30,15,6,0,94.0%
1983,24,92,8,1,5,13,19,25,14,6,1,91.3%
1982,25,86,4,0,2,10,23,26,14,5,2,95.3%
1981,26,96,5,2,2,11,25,23,20,8,0,94.8%
1980,27,106,14,3,2,10,28,27,17,5,0,86.8%
1979,28,96,18,0,5,9,20,30,10,4,0,81.3%
1978,29,97,9,1,1,20,23,24,15,4,0,90.7%
1977,30,107,15,3,6,13,38,23,5,4,0,86.0%
1976,31,109,15,4,5,19,22,23,15,4,2,86.2%
1975,32,111,17,3,7,12,29,23,15,4,1,84.7%
1974,33,134,19,2,6,17,29,28,26,5,2,85.8%
1973,34,113,14,1,10,21,17,24,14,10,2,87.6%
1972,35,126,18,0,8,18,36,25,17,3,1,85.7%
1971,36,85,13,1,2,7,21,26,11,2,2,84.7%
1970,37,87,11,0,1,14,32,15,10,3,1,87.4%
1969,38,100,12,1,4,9,27,19,22,6,0,88.0%
1968,39,94,9,1,7,8,21,28,10,5,5,90.4%
1967,40,54,10,1,2,5,8,13,8,6,1,81.5%
1966,41,56,4,2,0,4,7,21,14,2,2,92.9%
1965,42,59,10,2,0,5,13,13,14,2,0,83.1%
1964,43,44,4,0,2,6,5,10,8,5,4,90.9%
1963,44,53,7,1,2,11,6,13,9,4,0,86.8%
1962,45,48,10,1,4,3,10,12,6,1,1,79.2%
1961,46,39,7,0,1,3,8,5,9,4,2,82.1%
1960,47,63,9,1,4,8,15,13,8,3,2,85.7%
1959,48,44,4,0,2,6,14,12,6,0,0,90.9%
1958,49,31,3,1,3,6,6,6,2,2,2,90.3%
1957,50,38,10,0,2,7,5,7,4,2,1,73.7%
1956,51,33,3,0,1,4,11,5,6,2,1,90.9%
1955,52,45,1,0,4,7,10,10,8,2,3,97.8%
1954,53,29,2,2,3,6,3,5,5,3,0,93.1%
1953,54,36,1,2,2,7,7,8,6,2,1,97.2%
1952,55,33,2,1,4,4,7,10,4,1,0,93.9%
1951,56,28,2,2,0,5,10,5,3,0,1,92.9%
1950,57,32,3,0,4,3,7,11,1,3,0,90.6%
1949,58,34,3,1,2,5,9,7,5,1,1,91.2%
1948,59,36,3,1,5,9,5,6,5,1,1,91.7%
1947,60,17,1,3,1,2,3,4,3,0,0,94.1%
1946,61,16,1,2,3,3,3,3,1,0,0,93.8%
1945,62,12,1,0,3,0,1,5,1,1,0,91.7%
1944,63,14,2,1,0,2,3,2,1,3,0,85.7%
1943,64,13,1,2,0,2,1,2,3,1,1,92.3%
1942,65,10,1,0,0,3,1,4,1,0,0,90.0%
1941,66,11,0,0,4,1,1,1,3,1,0,100.0%
1940,67,4,0,0,0,0,2,0,1,0,1,100.0%
1939,68,10,0,0,1,1,2,2,2,2,0,100.0%
1938,69,9,0,0,0,1,4,4,0,0,0,100.0%
1937,70-,39,4,1,5,6,11,6,4,2,0,89.7%
