birth	age	total	-2^3	2^3	2^4	2^5	2^6	2^7	2^8	2^9	2^10-	2^3-%
2010	0-5M	26	10	6	5	4	1	0	0	0	0	61.5%
2010	6-11M	73	73	0	0	0	0	0	0	0	0	0.0%
2009	1	178	60	3	3	15	23	37	25	9	3	66.3%
2008	2	153	7	2	14	13	37	45	25	6	4	95.4%
2007	3	141	4	8	12	22	38	34	19	4	0	97.2%
2006	4	102	6	2	10	25	31	23	3	2	0	94.1%
2005	5	93	5	3	8	14	33	24	5	1	0	94.6%
2004	6	102	1	2	6	28	29	14	13	6	3	99.0%
2003	7	74	1	2	5	10	18	26	8	4	0	98.6%
2002	8	107	7	5	8	25	32	20	8	2	0	93.5%
2001	9	109	3	5	15	28	27	28	2	1	0	97.2%
2000	10	145	13	6	17	29	37	25	13	5	0	91.0%
1999	11	125	6	7	21	30	34	16	7	4	0	95.2%
1998	12	91	8	4	6	29	21	15	6	2	0	91.2%
1997	13	120	3	4	16	22	27	24	16	7	1	97.5%
1996	14	97	1	0	15	27	30	12	7	5	0	99.0%
1995	15	132	15	5	20	27	30	21	11	2	1	88.6%
1994	16	99	16	4	15	27	18	12	5	2	0	83.8%
1993	17	75	5	5	10	27	13	10	4	1	0	93.3%
1992	18	96	3	1	13	27	24	16	10	2	0	96.9%
1991	19	71	2	2	5	20	24	10	7	1	0	97.2%
1990	20	71	11	2	9	15	22	7	4	1	0	84.5%
1989	21	77	7	3	6	20	19	10	3	7	2	90.9%
1988	22	90	4	3	9	12	21	25	11	4	1	95.6%
1987	23	89	4	2	6	16	23	18	15	3	2	95.5%
1986	24	108	5	2	6	10	34	28	12	8	3	95.4%
1985	25	101	6	0	3	18	24	31	16	2	1	94.1%
1984	26	98	2	1	6	21	23	23	14	5	3	98.0%
1983	27	112	8	1	4	13	35	21	22	5	3	92.9%
1982	28	99	8	4	3	10	33	20	15	4	2	91.9%
1981	29	111	5	2	7	17	33	26	9	8	4	95.5%
1980	30	103	17	2	5	12	26	19	15	6	1	83.5%
1979	31	124	16	2	4	16	25	32	22	6	1	87.1%
1978	32	93	15	1	2	8	21	25	16	5	0	83.9%
1977	33	113	20	1	2	14	24	24	19	8	1	82.3%
1976	34	131	16	1	7	25	37	23	18	2	2	87.8%
1975	35	108	8	0	7	17	29	21	21	4	1	92.6%
1974	36	110	13	3	4	16	32	24	12	5	1	88.2%
1973	37	106	15	2	5	21	19	28	13	3	0	85.8%
1972	38	97	5	3	4	12	24	25	15	6	3	94.8%
1971	39	102	17	2	8	13	24	17	15	4	2	83.3%
1970	40	68	8	2	2	10	15	16	11	1	3	88.2%
1969	41	64	5	2	4	11	10	14	11	6	1	92.2%
1968	42	63	6	0	6	8	12	14	11	3	3	90.5%
1967	43	71	8	3	3	7	11	17	13	7	2	88.7%
1966	44	54	4	1	4	6	9	11	11	4	4	92.6%
1965	45	64	7	1	5	6	10	11	15	8	1	89.1%
1964	46	42	6	1	4	5	10	2	9	3	2	85.7%
1963	47	62	7	1	5	7	12	11	4	8	7	88.7%
1962	48	45	4	1	3	4	12	10	7	2	2	91.1%
1961	49	54	5	1	3	12	10	9	4	5	5	90.7%
1960	50	47	3	0	2	8	7	13	11	1	2	93.6%
1959	51	44	4	3	1	8	11	7	8	1	1	90.9%
1958	52	35	3	1	5	6	7	5	4	3	1	91.4%
1957	53	45	4	0	1	8	10	8	10	2	2	91.1%
1956	54	38	7	0	1	5	3	6	11	5	0	81.6%
1955	55	35	0	0	2	3	3	13	9	4	1	100.0%
1954	56	40	3	1	4	5	7	8	7	2	3	92.5%
1953	57	43	3	3	1	8	11	6	7	2	2	93.0%
1952	58	44	1	4	3	6	9	11	3	3	4	97.7%
1951	59	45	1	0	5	11	13	10	5	0	0	97.8%
1950	60	45	4	2	3	6	9	5	10	1	5	91.1%
1949	61	51	1	0	3	8	12	11	9	4	3	98.0%
1948	62	38	2	1	1	9	5	4	9	2	5	94.7%
1947	63	30	3	0	1	4	5	7	5	3	2	90.0%
1946	64	12	0	1	0	2	4	3	1	0	1	100.0%
1945	65	9	1	0	0	2	3	1	2	0	0	88.9%
1944	66	5	1	0	1	1	0	1	0	0	1	80.0%
1943	67	10	0	1	0	0	2	3	2	0	2	100.0%
1942	68	6	1	0	1	0	2	2	0	0	0	83.3%
1941	69	6	0	1	1	1	2	0	1	0	0	100.0%
1940	70-	24	0	3	2	3	4	6	1	4	1	100.0%
