birth,age,total,-2^3,2^3,2^4,2^5,2^6,2^7,2^8,2^9,2^10-,2^3-%
2016,0-5M,18,8,3,1,3,1,2,0,0,0,55.6
2016,6-11M,65,59,3,0,3,0,0,0,0,0,9.2
2015,1,217,64,12,15,25,29,35,20,10,7,70.5
2014,2,131,13,5,15,24,18,27,17,6,6,90.1
2013,3,125,10,8,18,23,29,19,12,6,0,92
2012,4,100,8,12,12,16,27,19,4,0,2,92
2011,5,81,9,4,14,13,21,14,5,1,0,88.9
2010,6,102,2,4,9,28,32,14,9,3,1,98
2009,7,89,1,5,10,26,23,16,8,0,0,98.9
2008,8,76,0,2,8,23,22,17,3,1,0,100
2007,9,71,3,2,9,17,28,12,0,0,0,95.8
2006,10,98,0,10,16,31,27,11,2,0,1,100
2005,11,79,2,9,13,18,26,8,3,0,0,97.5
2004,12,93,5,3,20,32,17,15,1,0,0,94.6
2003,13,107,7,7,17,37,21,13,5,0,0,93.5
2002,14,81,4,9,20,20,19,8,1,0,0,95.1
2001,15,81,7,3,15,22,20,11,2,1,0,91.4
2000,16,72,1,7,11,23,24,3,3,0,0,98.6
1999,17,59,3,4,4,15,19,8,5,1,0,94.9
1998,18,150,8,5,28,41,37,18,7,4,2,94.7
1997,19,128,3,2,14,35,32,24,10,6,2,97.7
1996,20,76,2,7,16,18,16,12,3,0,2,97.4
1995,21,66,3,3,13,17,20,7,3,0,0,95.5
1994,22,95,1,5,16,29,31,5,6,2,0,98.9
1993,23,118,3,8,17,39,35,8,6,1,1,97.5
1992,24,138,5,8,20,35,34,29,5,2,0,96.4
1991,25,118,3,8,15,40,25,20,5,1,1,97.5
1990,26,97,7,12,13,22,19,15,7,0,2,92.8
1989,27,146,15,10,21,37,29,17,9,7,1,89.7
1988,28,100,5,9,25,22,22,5,7,5,0,95
1987,29,92,2,5,10,19,25,15,10,4,2,97.8
1986,30,110,6,3,11,17,30,24,13,6,0,94.5
1985,31,113,6,3,13,16,23,35,13,3,1,94.7
1984,32,122,6,3,6,17,28,32,20,9,1,95.1
1983,33,97,9,0,6,21,20,22,12,7,0,90.7
1982,34,109,6,6,6,22,25,24,11,9,0,94.5
1981,35,95,4,5,9,23,18,20,10,3,3,95.8
1980,36,103,12,2,8,14,33,16,15,2,1,88.3
1979,37,93,11,2,6,19,22,15,8,8,2,88.2
1978,38,93,11,2,8,12,27,21,6,2,4,88.2
1977,39,104,16,3,11,14,27,22,8,3,0,84.6
1976,40,68,13,2,2,6,12,13,12,6,2,80.9
1975,41,79,8,2,6,18,13,17,7,4,4,89.9
1974,42,82,10,3,6,13,22,15,8,2,3,87.8
1973,43,73,6,1,7,17,18,9,8,5,2,91.8
1972,44,71,8,0,4,15,18,13,7,5,1,88.7
1971,45,72,10,2,3,9,12,19,10,4,3,86.1
1970,46,59,2,2,2,12,20,13,7,1,0,96.6
1969,47,68,6,1,6,12,13,16,11,2,1,91.2
1968,48,72,4,1,5,10,16,13,9,9,5,94.4
1967,49,56,6,2,2,9,8,11,10,6,2,89.3
1966,50,53,4,1,2,4,10,16,6,7,3,92.5
1965,51,74,7,2,2,10,12,11,15,11,4,90.5
1964,52,72,11,1,6,10,13,17,8,4,2,84.7
1963,53,49,6,2,1,7,12,14,4,1,2,87.8
1962,54,55,4,2,5,4,13,8,10,8,1,92.7
1961,55,51,9,2,0,3,5,22,7,3,0,82.4
1960,56,56,9,3,3,7,11,16,7,0,0,83.9
1959,57,50,6,2,2,10,9,12,6,1,2,88
1958,58,50,6,1,2,7,13,11,7,1,2,88
1957,59,33,1,2,2,5,9,6,3,2,3,97
1956,60,39,2,1,4,3,11,6,6,3,3,94.9
1955,61,36,3,1,3,6,9,5,5,3,1,91.7
1954,62,30,3,5,2,4,4,4,3,5,0,90
1953,63,33,5,3,1,2,7,8,2,4,1,84.8
1952,64,27,1,1,5,4,6,6,3,1,0,96.3
1951,65,20,1,2,1,3,6,4,1,1,1,95
1950,66,17,1,0,1,4,2,6,0,2,1,94.1
1949,67,12,2,1,0,1,2,2,1,3,0,83.3
1948,68,13,1,1,4,1,1,3,2,0,0,92.3
1947,69,10,1,0,1,2,2,1,1,0,2,90
1946,70-,15,0,0,0,3,3,3,5,0,1,100
