birth,age,total,-2^3,2^3,2^4,2^5,2^6,2^7,2^8,2^9,2^10- 2^3-%
2018,0-5M,24,10,3,7,0,3,1,0,0,0,58.3
2018,6-11M,56,50,1,3,2,0,0,0,0,0,10.7
2017,1,208,51,16,19,23,28,21,33,13,4,75.5
2016,2,145,18,10,10,17,30,30,26,2,2,87.6
2015,3,112,11,4,15,25,27,19,9,2,0,90.2
2014,4,81,8,3,11,17,20,13,7,2,0,90.1
2013,5,107,6,7,18,23,26,16,10,1,0,94.4
2012,6,102,6,4,8,20,31,23,8,2,0,94.1
2011,7,80,6,2,12,13,30,12,5,0,0,92.5
2010,8,52,0,2,15,15,11,7,2,0,0,100
2009,9,79,2,4,16,19,17,15,5,1,0,97.5
2008,10,99,5,3,20,37,23,10,1,0,0,94.9
2007,11,68,2,6,12,25,13,4,4,1,1,97.1
2006,12,101,3,7,23,36,20,8,4,0,0,97
2005,13,114,9,3,24,32,27,14,4,1,0,92.1
2004,14,45,0,1,9,18,13,3,1,0,0,100
2003,15,120,14,8,27,38,22,8,3,0,0,88.3
2002,16,100,4,10,20,35,18,8,4,1,0,96
2001,17,47,1,5,7,17,12,4,0,1,0,97.9
2000,18,129,0,3,19,40,45,14,6,1,1,100
1999,19,123,4,4,13,33,28,23,10,5,3,96.7
1998,20,103,3,2,16,34,29,16,2,1,0,97.1
1997,21,94,3,8,16,22,27,13,3,1,1,96.8
1996,22,90,1,1,14,33,24,13,4,0,0,98.9
1995,23,127,7,3,23,40,29,19,5,1,0,94.5
1994,24,118,6,8,20,33,28,16,5,2,0,94.9
1993,25,104,4,3,17,28,25,16,7,4,0,96.2
1992,26,106,0,4,11,31,33,12,13,1,1,100
1991,27,97,7,5,17,21,26,13,7,1,0,92.8
1990,28,126,9,7,20,31,34,16,5,4,0,92.9
1989,29,100,10,7,18,23,15,11,10,5,1,90
1988,30,102,11,3,10,19,25,20,12,0,2,89.2
1987,31,105,6,6,12,14,23,24,12,7,1,94.3
1986,32,104,11,1,2,26,23,23,11,6,1,89.4
1985,33,117,3,1,10,16,29,29,23,5,1,97.4
1984,34,104,7,1,4,15,28,26,17,6,0,93.3
1983,35,91,4,3,3,19,25,16,12,4,5,95.6
1982,36,106,3,6,7,21,19,27,16,5,2,97.2
1981,37,102,14,1,6,17,24,22,14,4,0,86.3
1980,38,111,17,7,5,18,17,21,17,8,1,84.7
1979,39,87,6,0,5,16,16,17,15,10,2,93.1
1978,40,73,6,2,5,7,20,20,9,0,4,91.8
1977,41,79,8,3,5,7,19,17,11,6,3,89.9
1976,42,65,1,0,6,11,13,18,9,5,2,98.5
1975,43,81,13,2,4,14,15,18,13,1,1,84
1974,44,70,8,0,10,8,18,13,6,6,1,88.6
1973,45,55,6,0,3,7,13,17,5,4,0,89.1
1972,46,62,10,1,6,15,8,13,2,5,2,83.9
1971,47,75,13,0,6,10,16,14,10,5,1,82.7
1970,48,72,9,1,6,12,14,16,7,6,1,87.5
1969,49,62,2,1,8,13,10,10,10,6,2,96.8
1968,50,74,5,1,4,16,14,14,16,4,0,93.2
1967,51,44,7,0,4,3,15,9,3,1,2,84.1
1966,52,75,11,1,3,11,20,12,5,10,2,85.3
1965,53,70,9,0,5,10,14,10,16,4,2,87.1
1964,54,67,9,3,6,4,10,18,13,2,2,86.6
1963,55,57,5,1,2,4,13,13,10,5,4,91.2
1962,56,54,3,2,3,10,10,9,10,4,3,94.4
1961,57,58,8,2,1,6,16,7,11,4,3,86.2
1960,58,46,6,1,3,8,9,11,4,3,1,87
1959,59,40,4,1,3,5,7,9,7,4,0,90
1958,60,41,5,1,1,5,10,9,3,3,4,87.8
1957,61,46,5,1,2,5,7,13,8,2,3,89.1
1956,62,44,6,1,1,10,9,8,6,2,1,86.4
1955,63,30,1,0,3,6,4,7,5,3,1,96.7
1954,64,20,1,1,1,4,3,3,4,1,2,95
1953,65,24,1,1,3,4,7,5,0,2,1,95.8
1952,66,20,0,3,2,3,5,4,3,0,0,100
1951,67,10,0,0,2,3,3,1,1,0,0,100
1950,68,12,0,1,3,0,5,0,2,1,0,100
1949,69,18,2,0,5,6,0,2,2,0,1,88.9
-1948,70-,26,2,0,1,4,5,5,5,2,2,92.3
