,,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
01,北海道,3,,,,,,,,,,,,,,324,324,324
02,青森,0,,,,,,,,,,,,,,,,
03,岩手,0,,,,,,,,,,,,,,,,
04,宮城,16,360,360,360,360,360,360,360,360,324,324,324,324,324,324,324,324
05,秋田,1,,,360,,,,,,,,,,,,,
06,山形,6,,360,360,360,,360,,360,,324,,,,,,
07,福島,0,,,,,,,,,,,,,,,,
08,茨城,4,,,,,,,,,,,,,324,324,324,324
09,栃木,14,,,360,360,360,360,360,360,324,324,324,324,324,324,324,324
10,群馬,15,,360,360,360,360,360,360,360,324,324,324,324,324,324,324,324
11,埼玉,6,360,360,,,,,,,,,,324,324,324,324,
12,千葉,14,,,360,360,360,360,360,360,324,324,324,324,324,324,324,324
13,東京,15,,360,360,360,360,360,360,360,324,324,324,324,324,324,324,324
14,神奈川,6,,,,,,,,,,,324,324,324,324,324,324
15,新潟,16,360,360,360,360,360,360,360,360,324,324,324,324,324,324,324,324
16,富山,0,,,,,,,,,,,,,,,,
17,石川,5,,,,,,,,,,,,324,324,324,324,324
18,福井,1,,,,360,,,,,,,,,,,,
19,山梨,3,,360,360,360,,,,,,,,,,,,
20,長野,16,360,360,360,360,360,360,360,360,324,324,324,324,324,324,324,324
21,岐阜,0,,,,,,,,,,,,,,,,
22,静岡,0,,,,,,,,,,,,,,,,
23,愛知,13,,,,360,360,360,360,360,324,324,324,324,324,324,324,324
24,三重,16,360,360,360,360,360,360,360,360,324,324,324,324,324,324,324,324
25,滋賀,0,,,,,,,,,,,,,,,,
26,京都,7,,,,,,,,360,324,324,324,324,324,,,324
27,大阪,0,,,,,,,,,,,,,,,,
28,兵庫,0,,,,,,,,,,,,,,,,
29,奈良,0,,,,,,,,,,,,,,,,
30,和歌山,0,,,,,,,,,,,,,,,,
31,鳥取,1,360,,,,,,,,,,,,,,,
32,島根,0,,,,,,,,,,,,,,,,
33,岡山,0,,,,,,,,,,,,,,,,
34,広島,0,,,,,,,,,,,,,,,,
35,山口,15,360,360,360,360,360,,360,360,324,324,324,324,324,324,324,324
36,徳島,1,360,,,,,,,,,,,,,,,
37,香川,0,,,,,,,,,,,,,,,,
38,愛媛,0,,,,,,,,,,,,,,,,
39,高知,15,,360,360,360,360,360,360,360,324,324,324,324,324,324,324,324
40,福岡,16,360,360,360,360,360,360,360,360,324,324,324,324,324,324,324,324
41,佐賀,1,,,,,,,,,,,324,,,,,
42,長崎,0,,,,,,,,,,,,,,,,
43,熊本,0,,,,,,,,,,,,,,,,
44,大分,0,,,,,,,,,,,,,,,,
45,宮崎,0,,,,,,,,,,,,,,,,
46,鹿児島,1,,,360,,,,,,,,,,,,,
47,沖縄,10,,360,360,360,360,,,360,324,,324,324,,324,324,
,,,,,,,,,,,,,,,,,,
,Total,,3240,4680,5760,5760,4680,4320,4320,5400,4536,4536,5184,5508,5508,5832,5832,5508
